"Kerncijfers wijken en buurten 2016"
"Onderwerpen";"Regioaanduiding";"Regioaanduiding";"Regioaanduiding";"Regioaanduiding";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Oppervlakte";"Oppervlakte";"Oppervlakte";"Postcode";"Postcode";"Stedelijkheid";"Stedelijkheid"
"Van der Kunbuurt";"Amsterdam";"Buurt";"BU03635508";"3";"545";"275";"270";"80";"105";"150";"135";"80";"355";"130";"55";"15";"55";"300";"135";"15";"65";"25";"70";".";".";".";".";"290";"150";"75";"75";"1.9";"7467";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"9";"7";"2";".";".";"1";"6135"
"Middenmeer";"Amsterdam";"Wijk";"WK036356";"3";"15285";"7250";"8030";"2655";"2885";"4435";"3685";"1635";"10015";"3950";"920";"410";"3065";"1970";"330";"115";"395";"155";"975";".";".";".";".";"7970";"4015";"1725";"2235";"1.9";"5421";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"302";"282";"20";".";".";"1";"4811"
"Linnaeusparkbuurt";"Amsterdam";"Buurt";"BU03635600";"3";"2540";"1230";"1305";"460";"250";"800";"710";"320";"1640";"670";"175";"60";"460";"235";"30";"15";"45";"20";"135";".";".";".";".";"1310";"640";"320";"360";"1.9";"14777";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"18";"17";"1";".";".";"1";"6729"
"Middenmeer Noord";"Amsterdam";"Buurt";"BU03635601";"3";"3000";"1390";"1605";"625";"435";"785";"825";"340";"1800";"955";"180";"75";"445";"340";"100";"15";"65";"30";"130";".";".";".";".";"1345";"530";"285";"540";"2.2";"16179";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"19";"19";"0";".";".";"1";"6837"
"Middenmeer Zuid";"Amsterdam";"Buurt";"BU03635602";"3";"5195";"2460";"2735";"1110";"585";"1705";"1200";"605";"3325";"1335";"370";"175";"895";"525";"85";"45";"120";"35";"250";".";".";".";".";"2510";"1090";"550";"875";"2.1";"13129";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"40";"40";"0";".";".";"1";"4096"
"Sportpark Middenmeer Zuid";"Amsterdam";"Buurt";"BU03635603";"3";"300";"130";"170";"25";"20";"50";"80";"135";"120";"105";"30";"50";"40";"15";"0";"5";"5";"5";"5";".";".";".";".";"180";"100";"60";"30";"1.6";"1424";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"21";"21";"0";".";".";"1";"3057"
"Sportpark Middenmeer Noord";"Amsterdam";"Buurt";"BU03635604";"3";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";".";".";".";".";"0";"0";"5";"0";"2.0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"25";"24";"1";".";".";"2";"2062"
"Park de Meer";"Amsterdam";"Buurt";"BU03635605";"3";"1665";"805";"855";"260";"230";"325";"655";"205";"885";"615";"125";"45";"250";"385";"100";"15";"110";"40";"120";".";".";".";".";"720";"245";"185";"300";"2.3";"6777";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"26";"25";"2";".";".";"1";"2746"
"Sportpark Voorland";"Amsterdam";"Buurt";"BU03635606";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";".";".";".";".";"0";"0";"0";"0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"27";"27";"0";".";".";"2";"2140"
"Science Park Noord";"Amsterdam";"Buurt";"BU03635607";"3";"2530";"1195";"1335";"175";"1365";"755";"210";"30";"2225";"265";"40";"10";"965";"465";"20";"30";"60";"30";"335";".";".";".";".";"1855";"1400";"330";"135";"1.4";"6192";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"42";"41";"1";".";".";"1";"4024"
"Science Park Zuid";"Amsterdam";"Buurt";"BU03635608";"3";"45";"25";"15";"5";"5";"20";"15";"5";"35";"10";"5";"5";"20";"10";"0";"0";"0";"0";"10";".";".";".";".";"30";"20";"10";"5";"1.5";"65";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"85";"70";"15";".";".";"3";"1076"
"Betondorp";"Amsterdam";"Wijk";"WK036357";"3";"3210";"1505";"1700";"390";"235";"895";"915";"785";"1725";"830";"475";"190";"395";"780";"195";"30";"210";"55";"300";".";".";".";".";"1965";"1150";"415";"405";"1.6";"2952";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"113";"109";"5";".";".";"1";"2615"
"Betondorp";"Amsterdam";"Buurt";"BU03635700";"3";"3205";"1505";"1700";"390";"235";"895";"915";"785";"1725";"825";"475";"190";"395";"780";"195";"30";"210";"55";"295";".";".";".";".";"1960";"1150";"415";"405";"1.6";"7315";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"46";"44";"2";".";".";"1";"2615"
"Nieuwe Oosterbegraafplaats";"Amsterdam";"Buurt";"BU03635701";"3";"5";"0";"0";"0";"5";"0";"5";"0";"5";"5";"5";"5";"0";"5";"0";"0";"0";"0";"5";".";".";".";".";"0";"5";"0";"5";"2.0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"39";"38";"1";".";".";"1";"2829"
"Drieburg";"Amsterdam";"Buurt";"BU03635702";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";".";".";".";".";"0";"0";"0";"0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"28";"27";"1";".";".";"2";"2382"
"Omval/Overamstel";"Amsterdam";"Wijk";"WK036358";"3";"3920";"1945";"1970";"185";"1830";"1315";"430";"165";"3335";"405";"160";"30";"685";"760";"60";"135";"170";"60";"340";".";".";".";".";"2975";"2450";"365";"165";"1.3";"1377";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"320";"285";"35";".";".";"1";"2533"
"Weespertrekvaart";"Amsterdam";"Buurt";"BU03635801";"3";"1260";"615";"645";"5";"830";"380";"50";"5";"1235";"15";"20";"5";"140";"305";"25";"100";"80";"25";"85";".";".";".";".";"1020";"960";"65";"5";"1.1";"2767";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"48";"46";"3";".";".";"2";"1886"
"Amstelglorie";"Amsterdam";"Buurt";"BU03635804";"3";"85";"40";"45";"10";"15";"15";"35";"15";"60";"20";"10";"5";"20";"5";"0";"5";"0";"0";"0";".";".";".";".";"40";"25";"15";"15";"2.0";"196";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"51";"45";"6";".";".";"2";"1710"
"Overamstel";"Amsterdam";"Buurt";"BU03635805";"3";"45";"25";"15";"5";"5";"20";"15";"0";"40";"5";"5";"0";"10";"5";"0";"0";"0";"0";"5";".";".";".";".";"5";"5";"5";"5";"2.3";"41";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"119";"110";"9";".";".";"5";"370"
"Amstelkwartier Noord";"Amsterdam";"Buurt";"BU03635806";"3";"1185";"595";"585";"80";"510";"465";"110";"25";"1020";"110";"60";"10";"175";"190";"30";"20";"55";"15";"75";".";".";".";".";"910";"725";"130";"65";"1.3";"4207";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"37";"28";"9";".";".";"1";"2932"
"De Omval";"Amsterdam";"Buurt";"BU03635807";"3";"735";"390";"345";"80";"45";"325";"190";"105";"440";"225";"65";"20";"240";"125";"0";"5";"10";"15";"95";".";".";".";".";"425";"215";"140";"75";"1.7";"6407";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"15";"12";"3";".";".";"1";"5884"
"Amstelkwartier Zuid";"Amsterdam";"Buurt";"BU03635808";"3";"30";"15";"15";"0";"10";"5";"10";"10";"20";"15";"5";"0";"10";"5";"0";"0";"0";"0";"5";".";".";".";".";"20";"20";"10";"5";"1.4";"149";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"24";"23";"2";".";".";"3";"1315"
"Amstelkwartier West";"Amsterdam";"Buurt";"BU03635809";"3";"565";"255";"310";"10";"420";"110";"25";"10";"535";"25";"10";"5";"100";"130";"5";"15";"30";"10";"80";".";".";".";".";"535";"515";"15";"10";"1.1";"2676";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"26";"21";"4";".";".";"4";"623"
"Prinses Irenebuurt e.o.";"Amsterdam";"Wijk";"WK036359";"3";"1315";"580";"735";"255";"105";"335";"305";"325";"675";"500";"80";"75";"400";"140";"10";"5";"15";"5";"110";".";".";".";".";"690";"350";"165";"180";"1.9";"3446";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"43";"38";"5";".";".";"1";"4070"
"Prinses Irenebuurt";"Amsterdam";"Buurt";"BU03635900";"3";"1315";"580";"735";"255";"105";"335";"305";"325";"675";"500";"80";"75";"400";"140";"10";"5";"15";"5";"110";".";".";".";".";"690";"350";"165";"180";"1.9";"5391";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"27";"24";"2";".";".";"1";"4067"
"Beatrixpark";"Amsterdam";"Buurt";"BU03635901";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";".";".";".";".";"0";"0";"0";"0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"17";"14";"3";".";".";"1";"5664"
"Volewijck";"Amsterdam";"Wijk";"WK036360";"3";"9645";"4765";"4880";"1650";"1140";"3140";"2580";"1150";"5890";"2310";"1075";"385";"1095";"3820";"1125";"130";"750";"480";"1335";".";".";".";".";"5020";"2560";"940";"1525";"1.9";"8076";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"131";"119";"12";".";".";"1";"2732"
"Van der Pekbuurt";"Amsterdam";"Buurt";"BU03636000";"3";"4795";"2410";"2385";"880";"640";"1725";"1190";"375";"3200";"1005";"485";"120";"570";"2345";"840";"85";"350";"305";"770";".";".";".";".";"2515";"1370";"420";"735";"1.9";"9777";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"58";"49";"9";".";".";"1";"2724"
"Bloemenbuurt Zuid";"Amsterdam";"Buurt";"BU03636001";"3";"2420";"1165";"1255";"435";"270";"705";"640";"375";"1395";"590";"320";"125";"260";"900";"190";"30";"215";"110";"355";".";".";".";".";"1250";"625";"240";"395";"1.9";"6768";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"37";"36";"1";".";".";"1";"2776"
"Bloemenbuurt Noord";"Amsterdam";"Buurt";"BU03636002";"3";"2425";"1185";"1240";"340";"235";"710";"750";"400";"1295";"720";"275";"145";"265";"575";"100";"15";"185";"70";"215";".";".";".";".";"1250";"570";"285";"405";"1.9";"7016";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"36";"35";"2";".";".";"1";"2704"
"IJplein/Vogelbuurt";"Amsterdam";"Wijk";"WK036361";"3";"8230";"4175";"4055";"1340";"965";"2860";"2200";"875";"5160";"1955";"885";"245";"1085";"3755";"1230";"150";"725";"385";"1275";".";".";".";".";"4400";"2365";"835";"1210";"1.9";"6954";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"145";"118";"27";".";".";"1";"2682"
"IJplein e.o.";"Amsterdam";"Buurt";"BU03636100";"3";"2535";"1325";"1205";"345";"290";"820";"775";"310";"1540";"610";"300";"95";"315";"1160";"335";"35";"220";"155";"415";".";".";".";".";"1450";"860";"260";"335";"1.7";"12611";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"40";"20";"20";".";".";"1";"2717"
"Vogelbuurt Zuid";"Amsterdam";"Buurt";"BU03636101";"3";"4300";"2130";"2170";"765";"525";"1520";"1070";"430";"2705";"1040";"445";"120";"580";"2105";"720";"105";"405";"200";"675";".";".";".";".";"2200";"1120";"440";"650";"1.9";"13414";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"34";"32";"2";".";".";"1";"2702"
"Vogelbuurt Noord";"Amsterdam";"Buurt";"BU03636102";"3";"1275";"650";"625";"205";"135";"495";"320";"130";"840";"280";"135";"30";"175";"490";"170";"15";"95";"30";"180";".";".";".";".";"690";"355";"135";"210";"1.8";"4439";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"32";"29";"3";".";".";"1";"2607"
"Vliegenbos";"Amsterdam";"Buurt";"BU03636103";"3";"115";"60";"50";"25";"15";"30";"40";"10";"75";"30";"15";"5";"20";"5";"0";"0";"0";"0";"5";".";".";".";".";"55";"35";"10";"20";"2.1";"307";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"39";"37";"2";".";".";"2";"2195"
"Tuindorp Nieuwendam";"Amsterdam";"Wijk";"WK036362";"3";"3520";"1640";"1875";"495";"310";"805";"1070";"850";"1675";"1160";"455";"240";"395";"445";"85";"15";"125";"30";"195";".";".";".";".";"1870";"870";"460";"550";"1.9";"8196";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"47";"43";"4";".";".";"1";"2832"
"Tuindorp Nieuwendam West";"Amsterdam";"Buurt";"BU03636200";"3";"1065";"485";"580";"115";"95";"220";"335";"310";"445";"425";"125";"80";"140";"165";"40";"5";"50";"15";"60";".";".";".";".";"545";"220";"190";"145";"1.9";"9559";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"12";"11";"1";".";".";"1";"3253"
"Tuindorp Nieuwendam Oost";"Amsterdam";"Buurt";"BU03636201";"3";"2455";"1155";"1295";"380";"215";"590";"735";"540";"1235";"735";"330";"160";"260";"280";"45";"15";"75";"15";"135";".";".";".";".";"1325";"655";"270";"410";"1.8";"7718";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"35";"32";"3";".";".";"1";"2656"
"Tuindorp Buiksloot";"Amsterdam";"Wijk";"WK036363";"3";"1860";"890";"970";"270";"190";"460";"615";"335";"925";"605";"215";"125";"180";"330";"65";"15";"95";"30";"125";".";".";".";".";"925";"380";"250";"305";"2.0";"11034";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"17";"17";"0";".";".";"2";"2480"
"Blauwe Zand";"Amsterdam";"Buurt";"BU03636300";"3";"1860";"890";"970";"270";"190";"460";"615";"335";"925";"605";"215";"125";"180";"330";"65";"15";"95";"30";"125";".";".";".";".";"925";"380";"250";"305";"2.0";"11034";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"17";"17";"0";".";".";"2";"2480"
"Nieuwendammerdijk/Buiksloterdijk";"Amsterdam";"Wijk";"WK036364";"3";"1685";"830";"855";"410";"155";"335";"560";"235";"985";"585";"80";"50";"270";"70";"10";"15";"5";"5";"40";".";".";".";".";"655";"170";"190";"305";"2.6";"4711";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"43";"36";"8";".";".";"2";"2450"
"Buiksloterdijk West";"Amsterdam";"Buurt";"BU03636400";"3";"155";"70";"85";"35";"15";"30";"60";"25";"85";"65";"10";"5";"25";"5";"0";"0";"0";"0";"0";".";".";".";".";"60";"15";"25";"25";"2.6";"6955";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"3";"2";"0";".";".";"1";"2721"
